time_sec,target_class,confidence,bird_confirmed,classifier_mode
2.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
2.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
2.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
2.9000000000000004,bird,0.9200000166893005,true,fake_gazebo
2.9000000000000004,bird,0.9200000166893005,true,fake_gazebo
2.9000000000000004,bird,0.9200000166893005,true,fake_gazebo
3.0,bird,0.9200000166893005,true,fake_gazebo
3.0,bird,0.9200000166893005,true,fake_gazebo
3.0,bird,0.9200000166893005,true,fake_gazebo
3.1,bird,0.9200000166893005,true,fake_gazebo
3.1,bird,0.9200000166893005,true,fake_gazebo
3.1,bird,0.9200000166893005,true,fake_gazebo
3.2,bird,0.9200000166893005,true,fake_gazebo
3.2,bird,0.9200000166893005,true,fake_gazebo
3.2,bird,0.9200000166893005,true,fake_gazebo
3.3000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.3000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.3000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.4000000000000004,bird,0.9200000166893005,true,fake_gazebo
3.4000000000000004,bird,0.9200000166893005,true,fake_gazebo
3.4000000000000004,bird,0.9200000166893005,true,fake_gazebo
3.5,bird,0.9200000166893005,true,fake_gazebo
3.5,bird,0.9200000166893005,true,fake_gazebo
3.5,bird,0.9200000166893005,true,fake_gazebo
3.6,bird,0.9200000166893005,true,fake_gazebo
3.6,bird,0.9200000166893005,true,fake_gazebo
3.6,bird,0.9200000166893005,true,fake_gazebo
3.7,bird,0.9200000166893005,true,fake_gazebo
3.7,bird,0.9200000166893005,true,fake_gazebo
3.7,bird,0.9200000166893005,true,fake_gazebo
3.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.8000000000000003,bird,0.9200000166893005,true,fake_gazebo
3.9000000000000004,bird,0.9200000166893005,true,fake_gazebo
4.0,bird,0.9200000166893005,true,fake_gazebo
4.0,bird,0.9200000166893005,true,fake_gazebo
4.0,bird,0.9200000166893005,true,fake_gazebo
4.1000000000000005,bird,0.9200000166893005,true,fake_gazebo
4.1000000000000005,bird,0.9200000166893005,true,fake_gazebo
4.1000000000000005,bird,0.9200000166893005,true,fake_gazebo
4.2,bird,0.9200000166893005,true,fake_gazebo
4.2,bird,0.9200000166893005,true,fake_gazebo
4.2,bird,0.9200000166893005,true,fake_gazebo
4.300000000000001,bird,0.9200000166893005,true,fake_gazebo
4.300000000000001,bird,0.9200000166893005,true,fake_gazebo
4.300000000000001,bird,0.9200000166893005,true,fake_gazebo
4.4,bird,0.9200000166893005,true,fake_gazebo
4.4,bird,0.9200000166893005,true,fake_gazebo
4.4,bird,0.9200000166893005,true,fake_gazebo
4.5,bird,0.9200000166893005,true,fake_gazebo
4.5,bird,0.9200000166893005,true,fake_gazebo
4.5,bird,0.9200000166893005,true,fake_gazebo
4.6000000000000005,bird,0.9200000166893005,true,fake_gazebo
4.6000000000000005,bird,0.9200000166893005,true,fake_gazebo
4.6000000000000005,bird,0.9200000166893005,true,fake_gazebo
4.7,bird,0.9200000166893005,true,fake_gazebo
4.7,bird,0.9200000166893005,true,fake_gazebo
4.7,bird,0.9200000166893005,true,fake_gazebo
4.800000000000001,bird,0.9200000166893005,true,fake_gazebo
4.800000000000001,bird,0.9200000166893005,true,fake_gazebo
4.800000000000001,bird,0.9200000166893005,true,fake_gazebo
4.9,bird,0.9200000166893005,true,fake_gazebo
4.9,bird,0.9200000166893005,true,fake_gazebo
4.9,bird,0.9200000166893005,true,fake_gazebo
5.0,bird,0.9200000166893005,true,fake_gazebo
5.0,bird,0.9200000166893005,true,fake_gazebo
5.0,bird,0.9200000166893005,true,fake_gazebo
5.1000000000000005,bird,0.9200000166893005,true,fake_gazebo
5.1000000000000005,bird,0.9200000166893005,true,fake_gazebo
5.1000000000000005,bird,0.9200000166893005,true,fake_gazebo
5.2,bird,0.9200000166893005,true,fake_gazebo
5.2,bird,0.9200000166893005,true,fake_gazebo
5.2,bird,0.9200000166893005,true,fake_gazebo
5.300000000000001,bird,0.9200000166893005,true,fake_gazebo
