pc_stamp_sec,tracker_receive_time_sec,filter_done_time_sec,pc_age_at_receive_ms,filter_runtime_ms,filter_runtime_wall_ms,pc_stamp_to_filter_done_ms,pc_stamp_to_filter_done_sim_ms,raw_points,roi_points,cluster_points,roi_ratio,cluster_ratio,tf_ok,target_ok,target_lost,source,provenance,detector_mode,fallback_allowed,decision_allowed,moving,track_id,track_age_frames,missed_frames,estimated_target_speed_mps,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,lidar_target_valid,lidar_target_age_sec
58.7,58.800000000000004,58.800000000000004,100.00000000000142,184.88885700207902,184.88885700207902,100.00000000000142,100.00000000000142,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,2,187,1,3.031978459021586,,,,False,1.6000000000000014
59.0,59.1,59.1,100.00000000000142,168.61090299789794,168.61090299789794,100.00000000000142,100.00000000000142,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,2,187,1,3.031978459021586,,,,False,1.8999999999999986
59.2,59.300000000000004,59.300000000000004,100.00000000000142,183.48393199994462,183.48393199994462,100.00000000000142,100.00000000000142,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,2,187,1,3.031978459021586,,,,False,2.1000000000000014
59.4,59.400000000000006,59.400000000000006,7.105427357601002e-12,210.84696899924893,210.84696899924893,7.105427357601002e-12,7.105427357601002e-12,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
59.5,59.6,59.6,100.00000000000142,175.11895400093636,175.11895400093636,100.00000000000142,100.00000000000142,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
59.7,59.7,59.7,0.0,179.5533600015915,179.5533600015915,0.0,0.0,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
60.3,60.300000000000004,60.300000000000004,7.105427357601002e-12,193.5200520019862,193.5200520019862,7.105427357601002e-12,7.105427357601002e-12,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
60.4,60.50000000000001,60.50000000000001,100.00000000000853,174.7978650018922,174.7978650018922,100.00000000000853,100.00000000000853,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
60.6,60.7,60.7,100.00000000000142,191.48575599683682,191.48575599683682,100.00000000000142,100.00000000000142,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
61.4,61.400000000000006,61.400000000000006,7.105427357601002e-12,168.3059970018803,168.3059970018803,7.105427357601002e-12,7.105427357601002e-12,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,False,-1,0,0,0.0,,,,False,
