time_sec,trial_id,sound_command,repeat_index,sound_started,sound_done,sound_success
16.2,1,IDLE_NO_REQUEST,,False,False,True
16.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
16.400000000000002,1,sound_task_done,,True,False,True
16.6,1,IDLE_NO_REQUEST,,False,False,True
16.6,1,sound_task_done,,True,False,True
16.8,1,IDLE_NO_REQUEST,,False,False,True
16.8,1,sound_task_done,,True,False,True
17.0,1,sound_task_done,,True,False,True
17.0,1,IDLE_NO_REQUEST,,False,False,True
17.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
17.200000000000003,1,sound_task_done,,True,False,True
17.400000000000002,1,sound_task_done,,True,False,True
17.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
17.6,1,IDLE_NO_REQUEST,,False,False,True
17.6,1,sound_task_done,,True,False,True
17.8,1,IDLE_NO_REQUEST,,False,False,True
17.8,1,sound_task_done,,True,False,True
18.0,1,sound_task_done,,True,False,True
18.0,1,IDLE_NO_REQUEST,,False,False,True
18.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
18.200000000000003,1,sound_task_done,,True,False,True
18.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
18.400000000000002,1,sound_task_done,,True,False,True
18.6,1,IDLE_NO_REQUEST,,False,False,True
18.6,1,sound_task_done,,True,False,True
18.8,1,sound_task_done,,True,False,True
18.8,1,IDLE_NO_REQUEST,,False,False,True
19.0,1,IDLE_NO_REQUEST,,False,False,True
19.0,1,sound_task_done,,True,False,True
19.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
19.200000000000003,1,sound_task_done,,True,False,True
19.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
19.400000000000002,1,sound_task_done,,True,False,True
19.6,1,IDLE_NO_REQUEST,,False,False,True
19.6,1,sound_task_done,,True,False,True
19.8,1,sound_task_done,,True,False,True
19.8,1,IDLE_NO_REQUEST,,False,False,True
20.0,1,IDLE_NO_REQUEST,,False,False,True
20.0,1,sound_task_done,,True,False,True
20.1,1,IDLE_NO_REQUEST,,False,False,True
20.1,1,sound_task_done,,True,False,True
20.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
20.400000000000002,1,sound_task_done,,True,False,True
20.6,1,IDLE_NO_REQUEST,,False,False,True
20.6,1,sound_task_done,,True,False,True
20.8,1,IDLE_NO_REQUEST,,False,False,True
20.8,1,sound_task_done,,True,False,True
21.0,1,IDLE_NO_REQUEST,,False,False,True
21.0,1,sound_task_done,,True,False,True
21.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
21.200000000000003,1,sound_task_done,,True,False,True
21.400000000000002,1,IDLE_NO_REQUEST,,False,False,True
21.400000000000002,1,sound_task_done,,True,False,True
21.6,1,sound_task_done,,True,False,True
21.6,1,IDLE_NO_REQUEST,,False,False,True
21.8,1,IDLE_NO_REQUEST,,False,False,True
21.8,1,sound_task_done,,True,False,True
22.0,1,IDLE_NO_REQUEST,,False,False,True
22.0,1,sound_task_done,,True,False,True
22.1,1,sound_task_done,,True,False,True
22.200000000000003,1,IDLE_NO_REQUEST,,False,False,True
